word,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5,num_item_id
clean (action),The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,412
dance,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,419
eat,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,426
get,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,433
hide,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,440
kiss,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,447
make,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,454
pull,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,461
say,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,468
skate,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,475
stay,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,482
taste,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,489
wake,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,496
write,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,503
black,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,510
cute,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,517
first,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,524
heavy,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,531
long,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,538
old,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,545
scared,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,552
thirsty,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,559
yucky,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,566
now,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,573
her,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,580
mine,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,587
them,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,594
you,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,601
which,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,608
away,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,615
here,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,622
on top of,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,629
with,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,636
each,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,643
same,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,650
can (auxiliary),The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,657
gotta/got to,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,664
was,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,671
if,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general,678
Five + 2 is seven,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
The word blue has four letters,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
Triangles have four sides,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
An elephant is smaller than a mouse,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
Four is larger than two,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
